latent_beta,characteristic,correlation,nobs
sdf_beta_04,momentum_12_2,-0.06462782934979497,450383
sdf_beta_04,fred_unrate,-0.061161407054009125,467085
sdf_beta_08,put_call_iv_spread,0.058162015918214016,465752
sdf_beta_01,fred_10y2y_spread,-0.05792712923213027,456498
sdf_beta_08,vix_eom,-0.05750885790176336,467085
sdf_beta_07,atm_iv,-0.05742030387935704,467085
sdf_beta_04,bls_cpi_u_yoy,0.05738367484997123,467085
sdf_beta_04,fred_cpi_yoy,0.05738079564074599,467085
sdf_beta_02,momentum_12_2,-0.05535372649585767,450383
sdf_beta_08,atm_iv,0.05475074714050727,467085
sdf_beta_07,idio_vol_252d,-0.054160265441046886,461740
sdf_beta_08,idio_vol_252d,0.05102076796278238,461740
sdf_beta_04,fred_10y2y_spread,-0.050980699082204525,456498
sdf_beta_03,fred_unrate,-0.05061452025684544,467085
sdf_beta_07,beta_252d,-0.048851126656859756,464952
sdf_beta_04,vix_eom,0.04304532419020848,467085
sdf_beta_01,momentum_12_2,0.03973908035452254,450383
sdf_beta_07,fred_10y2y_spread,-0.038488685441838394,456498
sdf_beta_08,fred_cpi_yoy,-0.035871874220366085,467085
sdf_beta_08,bls_cpi_u_yoy,-0.03555672789932354,467085
sdf_beta_01,fred_indpro_yoy,0.03493120804092955,467085
sdf_beta_01,idio_vol_252d,0.03441822545949915,461740
sdf_beta_06,fred_unrate,0.03225837040775816,467085
sdf_beta_07,vix_eom,-0.03039043443736184,467085
sdf_beta_01,atm_iv,0.029290033998910937,467085
sdf_beta_02,fred_10y2y_spread,0.027594224393028298,456498
sdf_beta_08,mean_iv,0.027225546881154177,467085
sdf_beta_06,vix_eom,-0.026454059718176045,467085
sdf_beta_05,fred_indpro_yoy,-0.02627499559209631,467085
sdf_beta_03,momentum_12_2,-0.026105422877326843,450383
sdf_beta_04,gross_profitability,0.024633986408548438,464907
sdf_beta_01,mean_iv,0.024556105688394548,467085
sdf_beta_07,gross_profitability,0.024381899878389717,464907
sdf_beta_01,beta_252d,-0.024119016405303877,464952
sdf_beta_05,vix_eom,0.023249582287344823,467085
sdf_beta_03,fred_indpro_yoy,0.022174846155164647,467085
sdf_beta_05,put_call_iv_spread,0.02139089363403175,465752
sdf_beta_03,put_call_iv_spread,0.020686042780790483,465752
sdf_beta_07,fred_indpro_yoy,-0.02032168468478425,467085
sdf_beta_08,gross_profitability,-0.01667791307208425,464907
sdf_beta_03,gross_profitability,0.016209135546578157,464907
sdf_beta_05,fred_unrate,-0.015857390463038332,467085
sdf_beta_05,bls_cpi_u_yoy,-0.014755426382903211,467085
sdf_beta_08,fred_10y2y_spread,0.01471205718591111,456498
sdf_beta_05,fred_cpi_yoy,-0.0141098277848638,467085
sdf_beta_06,bls_cpi_u_yoy,-0.013594824525877661,467085
sdf_beta_06,fred_cpi_yoy,-0.013417008274539502,467085
sdf_beta_01,put_call_iv_spread,-0.013275206005890635,465752
sdf_beta_04,put_call_iv_spread,-0.013168348751522774,465752
sdf_beta_08,fred_unrate,0.013111738916401846,467085
sdf_beta_07,momentum_12_2,0.01243371009860205,450383
sdf_beta_04,fred_indpro_yoy,-0.01141767392196856,467085
sdf_beta_05,fred_10y2y_spread,-0.011188462196530509,456498
sdf_beta_02,vix_eom,-0.010943422067451967,467085
sdf_beta_02,put_call_iv_spread,-0.009325057095795546,465752
sdf_beta_06,gross_profitability,-0.008271334895088934,464907
sdf_beta_06,put_call_iv_spread,-0.0070889403673107055,465752
sdf_beta_03,vix_eom,-0.006542739689374492,467085
sdf_beta_05,gross_profitability,0.006249863398602162,464907
sdf_beta_04,book_to_market_comp,0.004729002484839554,453458
sdf_beta_02,fred_indpro_yoy,-0.004557982337126662,467085
sdf_beta_03,book_to_market_comp,-0.004274029991587967,453458
sdf_beta_06,book_to_market_comp,-0.004012846940188232,453458
sdf_beta_06,fred_10y2y_spread,0.0038680628830792922,456498
sdf_beta_08,book_to_market_comp,-0.003837429647839401,453458
sdf_beta_01,book_to_market_comp,0.003735954113861198,453458
sdf_beta_05,momentum_12_2,0.0035415483910557276,450383
sdf_beta_07,book_to_market_comp,0.0032212216856735004,453458
sdf_beta_02,book_to_market_comp,-0.003104883248749493,453458
sdf_beta_07,put_call_iv_spread,0.0031005215969126775,465752
sdf_beta_08,fred_indpro_yoy,-0.0026673507426635094,467085
sdf_beta_05,book_to_market_comp,0.0025680220806884595,453458
sdf_beta_07,fred_unrate,-0.002388872453106777,467085
sdf_beta_06,investment,-0.0014289006382183444,462252
sdf_beta_05,investment,-0.001375630960664797,462252
sdf_beta_06,fred_indpro_yoy,-0.0012132474434753654,467085
sdf_beta_02,gross_profitability,-0.0011586076189139143,464907
sdf_beta_01,vix_eom,0.0008429604524206114,467085
sdf_beta_03,investment,-0.0006771896340061611,462252
sdf_beta_07,investment,-0.00048001082254578046,462252
sdf_beta_01,gross_profitability,-0.0003804173728063779,464907
sdf_beta_01,investment,0.00023089191588926503,462252
sdf_beta_04,investment,-0.0002208477221846971,462252
sdf_beta_02,investment,5.711006564191101e-05,462252
sdf_beta_08,investment,-4.6909168211457886e-05,462252
